Ancient Greek Prose Data,,,,,,,,,,,,,,,,,,,,,,,,,
Data: https://github.com/timgianitsos/tesserae/tree/master/texts/grc,,Project: https://www.qcrit.org,Author: Tim Gianitsos (tgianitsos@yahoo.com),Repo (Private): https://github.com/jdexter476/ProseVerseClassification.git,Code commit: 4885e29884e47634bf60aa238a0b62b2166db3a3,Corpus commit: dcfed9d7d6909c46cdfa0d1a9b90e33c1612b944,Note: Frequencies are per-character,,,,,,,,,,,,,,,,,,
andocides.against_alcibiades.tess,oratory,0.00508788,0.01469832,0.00030836,0.00318635,0.05298592,0.02415459,0.001439,0.00102272,0.04210526,0.00966184,0.01151197,0.00107925,0.00251824,0.00842841,0.00339192,0.01052632,0.00231267,0.00277521,50.4193548,204.821053,0.25274725,2.18947368,0.31868132,11449.9364
andocides.on_his_return.tess,oratory,0.00203906,0.01764567,0.00180378,0.0071367,0.04360442,0.03356599,0.00611717,0.00558194,0.05797101,0.00721512,0.04438868,0.00047055,0.01184221,0.00815622,0.00337228,0.08695652,0.00164693,0.00329386,44.6086957,184.797101,0.33846154,2.34782609,0.35384615,13161.9298
andocides.on_the_mysteries.tess,oratory,0.00452824,0.01766183,0.0010895,0.00437503,0.05107035,0.02561178,0.0029025,0.0026975,0.14022663,0.00885219,0.02854833,0.00160872,0.00514108,0.00456228,0.00406009,0.12322946,0.00214495,0.00112355,41.8243243,166.409348,0.26359143,1.93909348,0.34102142,16840.171
andocides.on_the_peace.tess,oratory,0.00253424,0.01396528,0.00064704,0.00280384,0.04448399,0.02997951,0.00301952,0.00244546,0.27131783,0.01056832,0.02846975,0.00318128,0.00183328,0.001348,0.00199504,0.13178295,0.0016176,0.00064704,40.5625,143.767442,0.25531915,1.79069767,0.31914894,15955.3568
antiphon.speeches.part.1.against_the_stepmother_for_poisoning.tess,oratory,0.00112505,0.02847252,0,0.00458676,0.05166595,0.0422328,0.00095197,0.000187,0.12857143,0.01003894,0.0316746,0.00450022,0.00726958,0.00493293,0.00545219,0.1,0.00259628,0.00051926,39.5277778,165.071429,0.41666667,2.27142857,0.53333333,10186.152
antiphon.speeches.part.2.first_tetralogy.tess,oratory,0.00472689,0.03011204,0.00070028,0.00536881,0.04090803,0.02235061,0.00180906,0.00143445,0.0990099,0.0105042,0.0231676,0.00122549,0.00396825,0.00326797,0.00093371,0.00990099,0.0017507,0.00035014,43.3870968,169.663366,0.24175824,2.9009901,0.34065934,9812.79757
antiphon.speeches.part.3.second_tetralogy.tess,oratory,0.00187891,0.01802366,0.00034795,0.00494085,0.04251914,0.01990257,0.00125261,0.00130795,0.08,0.01169102,0.02456507,0,0.00626305,0,0,0.04,0.00208768,0.00041754,42.1481481,191.6,0.31884058,3.09333333,0.37681159,11236.0533
antiphon.speeches.part.4.third_tetralogy.tess,oratory,0.00219436,0.0257837,0,0.00423197,0.04615987,0.01778997,0.00250784,0.00224252,0.05333333,0.01442006,0.02257053,0.00039185,0.0031348,0.00376176,0.00125392,0,0.00282132,0,33.8055556,170.133333,0.30985915,2.89333333,0.47887324,9293.63556
antiphon.speeches.part.5.on_the_murder_of_herodes.tess,oratory,0.00415432,0.02276371,0.00315825,0.00405714,0.0452116,0.03648997,0.00250231,0.00248546,0.09448819,0.01273019,0.03274865,0.00075312,0.00697245,0.0050532,0.00490744,0.0511811,0.00262378,0.00131189,36.3052632,162.055118,0.26086957,2.42125984,0.38695652,13374.7765
antiphon.speeches.part.6.on_the_choreutes.tess,oratory,0.00408002,0.02847241,0.00201807,0.00535229,0.06027902,0.03382469,0.00372905,0.00393664,0.10344828,0.00965166,0.02715627,0.00096517,0.00653681,0.01140651,0.00399228,0.13793103,0.00131614,0.00105291,43.7118644,262,0.5,2.96551724,0.75641026,34073.2184
apollodorus.epitome.tess,miscellaneous,0.00178789,0.02225917,0.00014303,0.00089394,0.05192019,0.01239005,0.00075091,0.00075188,0,0.00393335,8.94E-05,0.00064364,0.00387971,0,0.0006794,0,0.00203819,0,47.9038462,146.036554,0.12565445,1.3325062,0.13612565,8411.87334
apollodorus.library.tess,miscellaneous,0.00099872,0.02259405,0.00035034,0.00088368,0.05401448,0.01715078,0.00077388,0.00077395,0.00072464,0.00742503,0.00010981,0.00046014,0.00201835,0.00081571,0.00167848,0,0.00207064,0.00012549,41.1631206,138.583333,0.17476432,1.69152788,0.20449601,6691.36045
appian.civil_wars.part.1.tess,history,0.00368301,0.02261773,0.00127964,0.00092887,0.05681065,0.01253654,0.00149399,0.00149646,0,0.00769081,0.00070153,0.00064307,0.002962,0.00368301,0.0013381,0.0027894,0.00329328,0.00015589,46.5397727,214.714086,0.20949721,2.15760112,0.24581006,15269.1302
appian.civil_wars.part.2.tess,history,0.0034497,0.02425671,0.00139853,0.00121724,0.05966539,0.01126593,0.00198384,0.00203529,0.02699663,0.00791464,0.00489485,0.00065265,0.00329949,0.00406091,0.00170413,0.02249719,0.00351186,0.00018647,51.8869565,217.165354,0.23302108,2.27221597,0.2587822,16013.2786
appian.civil_wars.part.3.tess,history,0.00341791,0.02463711,0.00159723,0.00154758,0.05783968,0.01111442,0.00139861,0.00142931,0.06412478,0.00771306,0.00841651,0.00088551,0.00250757,0.00292136,0.00243309,0.01559792,0.00342619,0.00019862,49.4176471,209.417678,0.2537037,2.25129983,0.3037037,19562.7354
appian.civil_wars.part.4.tess,history,0.0026853,0.02094155,0.00121373,0.00081754,0.06760411,0.00998025,0.00149672,0.00152291,0.02204929,0.00890488,0.00753393,0.00120744,0.00359088,0.00382985,0.00245261,0.02464332,0.00279221,0.00033959,46.40625,206.243839,0.21571238,2.33463035,0.24766977,13277.2791
appian.civil_wars.part.5.tess,history,0.00268834,0.02244177,0.00135955,0.00141491,0.06194864,0.00946147,0.00125497,0.0012643,0.00506329,0.00959681,0.00440469,0.0010212,0.00311281,0.00116884,0.00207931,0.00759494,0.00304514,0.00025838,40.7021277,205.764557,0.21401274,2.32911392,0.23821656,14120.2661
aretaeus.curatione_acutorum_morbum.tess,technical treatise,0.00346052,0.00146966,0.00114543,0.00086665,0.07309217,0.01230576,0.00182723,0.0018115,0.0086246,0.00886039,0.00059392,1.82E-05,0,0.00367567,0.00056362,0,0.00189995,3.64E-05,32.8888889,149.799365,0.03021978,1.7819991,0.03250916,13565.7328
aretaeus.signorum_acutorum_morbum.tess,technical treatise,0.00264103,0.00236484,0.00105296,0.00084582,0.0706518,0.01161707,0.00144998,0.00145866,0.01336898,0.00863081,0.00041428,0,0,0.00666298,0.00100117,0,0.00165712,0,50.9,154.898396,0.02710027,1.74734043,0.02710027,13373.1127
aristotle.constitution.tess,philosophy,0.00544511,0.01119774,0.00146529,0.00256879,0.05292245,0.01887697,0.00191755,0.00189903,0.00471698,0.00955155,0.00039798,0.00212558,0.00161001,0.00290345,0.0042783,0,0.00138389,0.00037989,41.3434343,173.833333,0.24960506,2.2492163,0.31279621,13879.6986
aristotle.economics.tess,philosophy,0.00539211,0.02679501,0.00011825,0.00156087,0.05299877,0.01712232,0.00245956,0.00245956,0,0.0060543,0.00042569,0.00085139,0.0001892,0.00324,0.00465897,0,0.00163182,0.00212846,32.2631579,162.007663,0.24521073,2.21072797,0.29118774,8903.31795
aristotle.eudemian_ethics.tess,philosophy,0.00558975,0.01135941,0.00037224,0.00370375,0.06859071,0.02077698,0.0039395,0.00392007,0.02835052,0.0111919,0.00150756,0.00060799,0.00147033,0.00177433,0.00506862,0,0.00254982,0.00219619,31.2348837,138.477663,0.24226348,2.0848329,0.37135279,12278.8251
aristotle.metaphysics.tess,philosophy,0.00738756,0.01269924,0.00077899,0.00566907,0.06769719,0.02464303,0.00600935,0.00595601,0.11343284,0.01009262,0.00079825,0.00026537,0.00030603,0.00164786,0.00338347,0,0.00308172,0.00246537,33.8387471,199.263113,0.26166426,2.96170213,0.39297739,28239.741
aristotle.nicomachean_ethics.tess,philosophy,0.00389459,0.01035412,0.00044322,0.0032941,0.06901028,0.01702524,0.00356289,0.00353406,0.05423095,0.01047707,0.00135539,0.0004232,0.00244198,0.00267932,0.00346281,0,0.00224754,0.00120097,30.1045161,163.495091,0.24172022,2.6954291,0.37469105,11071.4655
aristotle.poetics.tess,technical treatise,0.00531015,0.01026003,0.00081454,0.00308584,0.06967419,0.0177005,0.0039787,0.00397152,0.01123596,0.01102757,0.00093985,0.0004386,0.00012531,0.00288221,0.00343045,0,0.00234962,0.00169173,44.1416667,179.294944,0.25882353,2.55847953,0.34705882,17898.354
aristotle.politics.tess,philosophy,0.00541833,0.00975252,0.00086826,0.00255971,0.05890419,0.01907091,0.00421558,0.00417721,0.03632694,0.01114981,0.00039143,0.00111735,0.00078286,0.00305315,0.00344221,0,0.00199273,0.00204967,45.1832994,212.680121,0.19800943,2.95035105,0.2477737,31009.4961
aristotle.rhetoric.tess,technical treatise,0.00512723,0.00995222,0.00034594,0.00599027,0.07295748,0.01629208,0.00284401,0.00280026,0.01975781,0.00904549,0.00158405,0.00095407,0.00070281,0.00186809,0.0040275,0.00254939,0.00278575,0.0021412,34.0541012,175.023582,0.27438231,2.27646326,0.36996099,19671.1422
aristotle.virtues_and_vices.tess,philosophy,0,0.00564061,0.00060435,0,0.08118453,0.00060435,0.00070508,0.00070508,0,0.00564061,0.00030218,0,0,0,0,0,0,0,43.24,143.884058,0.27536232,1.71014493,0.36231884,6380.79815
athenaeus.deipnosophists.tess,miscellaneous,0.00281796,0.01198178,0.00061163,0.00117187,0.04812372,0.01224821,0.00256046,0.00247419,0.0702001,0.00437692,0.00523766,0.00058929,0.00089538,0.0033067,0.0022566,0.02852654,0.00256214,0.0005999,49.8887515,148.032247,0.17090256,1.50097208,0.20790301,14243.5675
barnabas.barnabae_epistulae.tess,letters,0.00095452,0.02772664,0,0.00265903,0.04143088,0.01286334,0.00081816,0.00089423,0.13283208,0.00163633,0.02890843,0.00465899,0.00534079,0,0.00363628,0,0.00306811,0.00013636,36.3225806,110.278195,0.15317919,0.64321608,0.17052023,7652.34617
basil_of_caesarea.de_legendis.tess,miscellaneous,0.00245928,0.01427659,0.00025551,0.00178857,0.04749281,0.01676781,0.00389652,0.0038518,0.13375796,0.00689875,0.01172149,0.00127755,0.00421591,0.00162887,0.0028106,0.01910828,0.00249122,0.00229958,48.2698413,199.426752,0.33088235,2.39490446,0.38970588,17729.9134
basil_of_caesarea.epistulae.tess,letters,0.00204147,0.01663813,0.00073247,0.00344491,0.04343858,0.01329425,0.00252795,0.00257006,0.09925841,0.00473085,0.02629969,0.00163845,0.00694692,0.00498782,0.00349213,0.00855676,0.00238849,0.00244449,44.0789474,173.154402,0.2123707,1.21159696,0.25058054,15177.7202
callistratus.statuarum_descriptiones.tess,miscellaneous,0,0.01001934,0.00019342,0.00046422,0.05887814,0.00441006,0.00174081,0.00178444,0.02631579,0.00789168,0.00297872,0.00019342,0.0015087,0.00085106,0.00019342,0.01754386,0.0027853,0,54.8,226.754386,0.14414414,2.08064516,0.14414414,21340.9046
chariton.de_chaerea.tess,miscellaneous,0.0024528,0.0164396,0.00098029,0.00108457,0.05263092,0.01113354,0.00192303,0.00190545,0.08038914,0.00699132,0.013724,0.00168109,0.00403377,0.00378766,0.0014016,0.03481823,0.00171446,0.00100114,30.4761905,122.747568,0.06935759,1.28417819,0.07447413,7454.55533
clement.exhortation.tess,miscellaneous,0.00290763,0.0049206,0.00111832,0,0.08320286,0.00469694,0.00335495,0.00335495,0,0.00357862,0.00670991,0.0024603,0.00178931,0,0.00447327,0,0.00201297,0,31,212.904762,0.04761905,2,0.04761905,9066.94331
clement.protrepticus.tess,miscellaneous,0.00303011,0.01311786,0.00056815,0.0022789,0.05142352,0.01251815,0.001635,0.00169281,0.18002323,0.00464617,0.01268859,0.00124361,0.00184332,0.00256928,0.0014898,0.04297329,0.00255666,7.58E-05,45.1941748,183.98374,0.21142857,1.58768873,0.26,18539.4144
clement.quis_dis_salvetur.tess,miscellaneous,0.00214056,0.01457854,0.00035676,0.00269192,0.06267635,0.01558395,0.00282165,0.00291441,0.14649682,0.00512438,0.00927578,0.00126488,0.00650277,0.00222165,0.00137839,0.00955414,0.00233516,0.00038919,41.1555556,196.388535,0.21374046,1.47770701,0.30534351,25969.7535
demades.on_the_twelve_years.tess,oratory,0.00163983,0.00372689,0,0.00231067,0.03629994,0.00939177,0.00119261,0.00120509,0.02173913,0.00655933,0.01006261,0.00149076,0,0.00178891,0.00223614,0.05434783,0.00178891,0,43.9375,145.826087,0.14444444,1.42391304,0.17777778,9591.83932
demetrius.elocutione.tess,technical treatise,0.00217738,0.01244359,0.00050247,0.00220694,0.06054306,0.00907407,0.00507399,0.00512042,0.02232855,0.00906422,0.00309366,0.00017734,0.0012217,0.0018424,0.00206901,0.01594896,0.00416757,0.00094583,33.9361702,161.878788,0.06035889,1.80223285,0.07014682,10156.6201
demosthenes.against_androtion.tess,oratory,0.00428618,0.01070196,0.00083567,0.0060923,0.03997736,0.03269894,0.00264179,0.00293681,0.15525114,0.00884192,0.0214848,0.00053914,0.00423226,0.00291137,0.00194091,0.08219178,0.00380095,0.00129394,35.1891892,169.388128,0.33513514,1.91324201,0.49189189,13182.5936
demosthenes.against_apatourius.tess,oratory,0.00121024,0.02005533,0.00046104,0.00559013,0.03832411,0.02962195,0.00161365,0.00162257,0.16494845,0.00968188,0.02506916,0.00282388,0.00391886,0.00149839,0.00541724,0.09278351,0.00345781,0.00172891,37.9166667,178.886598,0.18518519,1.98969072,0.20987654,13343.9974
demosthenes.against_aphobus_1.tess,oratory,0.00407596,0.02510271,0.00064698,0.00407596,0.04790865,0.03849513,0.00216737,0.00197968,0.15243902,0.01151619,0.01714489,0.00194093,0.00268495,0.00274965,0.00252321,0.07317073,0.00349368,0.00097047,42,188.493902,0.29496403,2.25,0.36690647,16123.0061
demosthenes.against_aphobus_2.tess,oratory,0.00519981,0.02426577,0,0.00404429,0.04323544,0.0370727,0.00192585,0.00150263,0.11764706,0.01001444,0.02667309,0.00192585,0.00375542,0.00250361,0.00211844,0.04411765,0.00519981,0.00057776,41.1481481,152.720588,0.35,1.60294118,0.41666667,19724.5543
demosthenes.against_aphobus_3.tess,oratory,0.00234937,0.01860553,0.00117469,0.00295567,0.04092459,0.04638121,0.00269041,0.00286533,0.1986755,0.00848806,0.02565366,0.00098522,0.00394089,0.00231148,0.00162941,0.0794702,0.00375142,0.00136415,39.46875,174.768212,0.325,1.87417219,0.39166667,18445.3304
demosthenes.against_aristocrates.tess,oratory,0.00358517,0.01416579,0.00065097,0.00644165,0.0400101,0.03126579,0.00544091,0.00524679,0.17092652,0.00835568,0.02037426,0.00156426,0.00309937,0.00201119,0.00348801,0.11182109,0.00332284,0.00081614,39.816,164.415335,0.31853282,1.83386581,0.40926641,16188.54
demosthenes.against_aristogiton_1.tess,oratory,0.00478988,0.01518301,0.00067781,0.00481247,0.05201085,0.0351333,0.00282422,0.00277493,0.29903537,0.00723,0.01741979,0.00045188,0.00429282,0.00526435,0.00259828,0.10610932,0.00196566,0.0010845,39.7054264,142.315113,0.35483871,1.34726688,0.50230415,16295.0325
demosthenes.against_aristogiton_2.tess,oratory,0.00139227,0.01879568,0,0.00574313,0.04620606,0.01931779,0.00417682,0.00447637,0.22413793,0.01253046,0.02184128,0.0005221,0.00704838,0.00208841,0.00757048,0.03448276,0.00182736,0.00208841,42.3684211,198.137931,0.28888889,2.12068966,0.31111111,8825.84304
demosthenes.against_boeotus_1.tess,oratory,0.0052922,0.01187929,0,0.0078257,0.03462448,0.03788988,0.003941,0.00320073,0.29787234,0.0083324,0.03366738,0.0008445,0.0063619,0.0021394,0.0060241,0.07801418,0.0025335,0.0013512,34.8974359,125.971631,0.24489796,1.65248227,0.28571429,7565.80061
demosthenes.against_boeotus_2.tess,oratory,0.00640488,0.02375143,0.00114373,0.00365993,0.04483416,0.04910408,0.00205871,0.00195791,0.09183673,0.00975982,0.03694243,0.00179184,0.00343119,0.00182997,0.00339306,0.20408163,0.00480366,0.00434617,45.884058,267.653061,0.43820225,2.66326531,0.69662921,37014.4102
demosthenes.against_callicles.tess,oratory,0.0054833,0.01040422,0.00112478,0.00442882,0.04196837,0.03472759,0.00182777,0.00154255,0.19318182,0.00984183,0.02495606,0.00253076,0.00239016,0.00168717,0.00224956,0.27272727,0.00210896,0.00126538,44.6470588,161.647727,0.17142857,1.79310345,0.2,12428.1145
demosthenes.against_callippus.tess,oratory,0.00287538,0.02854338,0.00364682,0.00483905,0.04853075,0.03099797,0.00364682,0.00343535,0.15714286,0.01065993,0.02671997,0.0011221,0.00448839,0,0.00547023,0.25714286,0.00441826,0.00336629,34.5185185,203.7,0.27118644,2.24285714,0.38983051,24855.7243
demosthenes.against_conon.tess,oratory,0.00228972,0.01242991,0.00023364,0.00481308,0.05313084,0.03130841,0.00420561,0.00420126,0.12068966,0.0071028,0.0264486,0.00149533,0.0028972,0.0038785,0.00397196,0.11206897,0.0032243,0.00224299,37.2857143,184.482759,0.3627451,1.9137931,0.45098039,25035.4049
demosthenes.against_dionysodorus.tess,oratory,0.0018486,0.02010911,0.0003607,0.00545561,0.04188647,0.02682718,0.00207403,0.00221695,0.16239316,0.00811579,0.02723297,0.00126246,0.00144281,0.00157807,0.00523017,0.21367521,0.00311105,0.0010821,36.3529412,189.564103,0.20408163,1.98290598,0.26530612,23725.5621
demosthenes.against_eubulides.tess,oratory,0.00206585,0.01339574,0.00145255,0.00500323,0.04870884,0.02963202,0.00171078,0.00120337,0.16161616,0.00813428,0.03127824,0.00054874,0.00616527,0.00367979,0.00251775,0.19191919,0.00338928,0.00135571,40.5211268,156.464646,0.28658537,1.46969697,0.36585366,14013.8447
demosthenes.against_evergus_and_mnesibulus.tess,oratory,0.00316369,0.02440165,0.00110041,0.00321871,0.05037139,0.01826685,0.00165062,0.00178614,0.05031447,0.00726272,0.02770289,0.00250344,0.00198074,0.00035763,0.0066575,0.10691824,0.00577717,0.0021458,38.8472222,228.616352,0.34899329,2.25316456,0.44966443,31200.7648
demosthenes.against_lacritus.tess,oratory,0.00362533,0.01446191,0.00114277,0.00441345,0.04842968,0.0349135,0.0033889,0.00334376,0.1221374,0.00394058,0.01773259,0.0007093,0.00464988,0.00350711,0.00535918,0.26717557,0.00141861,0.00047287,32.5897436,193.717557,0.27826087,1.48091603,0.32173913,19448.3706
demosthenes.against_leochares.tess,oratory,0.00200373,0.01488979,0.00248739,0.00272922,0.03630899,0.02957231,0.00162371,0.001544,0.16129032,0.00815311,0.01896635,0.00110551,0.00169281,0.0035238,0.00784219,0.14193548,0.00290196,0.00186554,35.6410256,186.748387,0.23076923,1.83870968,0.26153846,10753.298
demosthenes.against_leptines.tess,oratory,0.00467977,0.01419976,0.00041449,0.006311,0.03935018,0.03116727,0.00639123,0.00660786,0.16458333,0.00807595,0.0252039,0.0017382,0.00291483,0.00263404,0.00338281,0.14166667,0.00236663,0.00088247,40.1846847,155.8125,0.3425,1.65625,0.48,12353.6648
demosthenes.against_macartatus.tess,oratory,0.00458349,0.01283377,0.00037608,0.00472452,0.04933716,0.02432775,0.00136329,0.00119653,0.11453744,0.00526514,0.00968409,0.00190391,0.00855585,0.01405604,0.00397236,0.22907489,0.00119876,0.00084618,35,187.418502,0.24378109,1.58590308,0.29850746,26197.3711
demosthenes.against_midias.tess,oratory,0.00514575,0.01379823,0.00070516,0.00458353,0.05094291,0.03229434,0.00485034,0.0048037,0.17667845,0.00697535,0.02519511,0.00073375,0.00380214,0.00284922,0.00344956,0.16254417,0.00254429,0.0013722,38.108871,185.408127,0.34934498,1.76678445,0.47598253,18842.5207
demosthenes.against_nausimachus_and_xenopeithes.tess,oratory,0.00121921,0.01633748,0.00146306,0.00430789,0.04567992,0.03113062,0.00268227,0.00238908,0.06329114,0.00910347,0.0312119,0.00081281,0.00333252,0.00089409,0.00146306,0.11392405,0.00463302,0.00097537,37.5405405,155.734177,0.30136986,1.74683544,0.49315068,14920.7268
demosthenes.against_neaera.tess,oratory,0.00330201,0.03254382,0.00090488,0.00242888,0.05591186,0.01733553,0.0015875,0.00157176,0.07377049,0.00501651,0.01166815,0.00127,0.00361951,0.00231775,0.00452438,0.05737705,0.00500064,0.0017145,43.2389381,258.163934,0.31674208,2.06097561,0.46606335,41337.4157
demosthenes.against_nicostratus.tess,oratory,0.00183945,0.03303657,0,0.00389964,0.04451475,0.03001987,0.00294312,0.00294312,0,0.00735781,0.03296299,0.00309028,0.00125083,0.00279597,0.00735781,0.08474576,0.00397322,0.00132441,32.0322581,230.355932,0.40677966,2.45762712,0.52542373,17408.975
demosthenes.against_olympiodorus.tess,oratory,0.0030924,0.01389519,0.00098957,0.00235022,0.05516843,0.03562446,0.00395827,0.00418315,0.08396947,0.00610234,0.03521214,0.00189667,0.01047293,0.00210283,0.00952459,0.29007634,0.00136066,0.00098957,31.5945946,185.137405,0.40833333,1.54961832,0.54166667,14903.0651
demosthenes.against_onetor_30.tess,oratory,0.00454121,0.0207154,0.0007465,0.00267496,0.04205288,0.03222395,0.00236392,0.00231788,0.08860759,0.00920684,0.01822706,0.00124417,0.00049767,0.00423017,0.00192846,0.16455696,0.00522551,0,47.0294118,203.481013,0.33333333,2.2278481,0.44444444,14664.1231
demosthenes.against_onetor_31.tess,oratory,0.00318522,0.01688167,0.00127409,0.00764453,0.04586718,0.03073738,0.00445931,0.00343098,0.39534884,0.00828157,0.02181876,0,0.00350374,0.00175187,0.00684822,0.02325581,0.00430005,0,38.9230769,146.023256,0.19230769,1.23255814,0.26923077,8345.79016
demosthenes.against_pantaenetus.tess,oratory,0.00333492,0.01333969,0.00071463,0.00293791,0.04454502,0.0412498,0.00373194,0.00339377,0.20218579,0.00794029,0.02957758,0.00131015,0.00404955,0.00182627,0.00492298,0.08743169,0.00404955,0.00023821,34.4556962,137.639344,0.34027778,1.57923497,0.47916667,12986.0557
demosthenes.against_phaenippus.tess,oratory,0.0055007,0.00980847,0.0052356,0.00278348,0.0446683,0.0222016,0.0029823,0.0033523,0.12048193,0.00636225,0.02438863,0.00145802,0.00510306,0,0.00616343,0.24096386,0.0009941,0,42.8,181.795181,0.25,1.57831325,0.36111111,28135.2713
demosthenes.against_phormio.tess,oratory,0.00189702,0.01924119,0,0.0034327,0.03644986,0.0233514,0.00144535,0.00169187,0.15652174,0.00939476,0.02276423,0.00140018,0.00198735,0.00144535,0.0063234,0.23478261,0.00284553,0.00054201,40.5227273,192.521739,0.21649485,2.0173913,0.29896907,17254.3539
demosthenes.against_polycles.tess,oratory,0.00284137,0.02260179,0,0.00319654,0.05075716,0.01775855,0.00264764,0.00258817,0.06976744,0.00594104,0.03173937,0.0016467,0.00381002,0.00045204,0.00668367,0.08527132,0.00348713,0.00213103,38.9855072,240.085271,0.38461538,2.265625,0.51282051,39214.3881
demosthenes.against_spudias.tess,oratory,0.00254073,0.01621581,0.00306382,0.00440891,0.03833508,0.0367658,0.00216709,0.00183184,0.19178082,0.01046181,0.02525781,0.00119564,0.00127036,0,0.003288,0.30136986,0.00313854,0.00044836,38.84,183.315068,0.23728814,1.84931507,0.33898305,15139.3117
demosthenes.against_stephanus_1.tess,oratory,0.00454112,0.01488763,0.00087726,0.00523776,0.03635472,0.03749,0.00234796,0.00213026,0.15725806,0.00774054,0.02404727,0.00221895,0.00399928,0.00116108,0.00304461,0.14112903,0.00317362,0.00077405,35.9754098,156.278226,0.36407767,1.73790323,0.45145631,11560.975
demosthenes.against_stephanus_2.tess,oratory,0.00232353,0.02035093,0,0.00817242,0.04695137,0.02820287,0.00376572,0.00425109,0.08974359,0.0073712,0.02043106,0.00288438,0.00296451,0,0.00408621,0.03846154,0.00384585,0.00144219,38.3870968,160.012821,0.30985915,1.92307692,0.38028169,8110.11522
