philosophy:0,history_or_oratory_or_miscellaneous_or_letters_or_technical_treatise:1
Cicero Divinatio In C Verrem Part 2,1
Cicero Divinatio In C Verrem Part 3,1
Cicero Divinatio In C Verrem Part 4,1
Cicero Divinatio In C Verrem Part 5,1
Cicero Divinatio In C Verrem Part 6,1
Cicero Divinatio In Q Caecilium,1
Cicero Epistulae Ad Familiares Part 1 Ad Lentulum,1
Cicero Epistulae Ad Familiares Part 10 Ad Plancum Et Ceteros,1
Cicero Epistulae Ad Familiares Part 11 At Brutum Et Ceteros,1
Cicero Epistulae Ad Familiares Part 12 Ad Cassium Et Ceteros,1
Cicero Epistulae Ad Familiares Part 13 Ad Memmium Et Ceteros,1
Cicero Epistulae Ad Familiares Part 14 Ad Terentiam Uxorem,1
Cicero Epistulae Ad Familiares Part 15 Ad Senatum Et Ceteros,1
Cicero Epistulae Ad Familiares Part 16 Ad Tironem,1
Cicero Epistulae Ad Familiares Part 2 Ad Curionem Et Ceteros,1
Cicero Epistulae Ad Familiares Part 3 Ad Claudium Pulchrum,1
Cicero Epistulae Ad Familiares Part 4 Ad Sulpicium Et Ceteros,1
Cicero Epistulae Ad Familiares Part 5 Ad Metellum Et Ceteros,1
Cicero Epistulae Ad Familiares Part 6 Ad Torquatum Et Ceteros,1
Cicero Epistulae Ad Familiares Part 7 Ad Marium Et Ceteros,1
Cicero Epistulae Ad Familiares Part 8 Caeli Epistulae Ad Ciceronem,1
Cicero Epistulae Ad Familiares Part 9 Ad Varronem Et Ceteros,1
Cicero In Catilinam,1
Cicero In L Pisonem,1
Cicero In Vatinium,1
Cicero Letters To Atticus Part 1,1
Cicero Letters To Atticus Part 10,1
Cicero Letters To Atticus Part 11,1
Cicero Letters To Atticus Part 12,1
Cicero Letters To Atticus Part 13,1
Cicero Letters To Atticus Part 14,1
Cicero Letters To Atticus Part 15,1
Cicero Letters To Atticus Part 16,1
Cicero Letters To Atticus Part 2,1
Cicero Letters To Atticus Part 3,1
Cicero Letters To Atticus Part 4,1
Cicero Letters To Atticus Part 5,1
Cicero Letters To Atticus Part 6,1
Cicero Letters To Atticus Part 7,1
Cicero Letters To Atticus Part 8,1
Cicero Letters To Atticus Part 9,1
Cicero Letters To Brutus,1
Cicero Letters To Quintus,1
Cicero Lucullus,0
Cicero Orator,0
Cicero Paradoxa Stoicorum Ad M Brutum,0
Cicero Philippicae Part 1,1
Cicero Philippicae Part 10,1
Cicero Philippicae Part 11,1
Cicero Philippicae Part 12,1
Cicero Philippicae Part 13,1
Cicero Philippicae Part 14,1
Cicero Philippicae Part 2,1
Cicero Philippicae Part 3,1
Cicero Philippicae Part 4,1
Cicero Philippicae Part 5,1
Cicero Philippicae Part 6,1
Cicero Philippicae Part 7,1
Cicero Philippicae Part 8,1
Cicero Philippicae Part 9,1
Cicero Post Reditum In Senatu,1
Cicero Pro A Caecina,1
Cicero Pro A Cluentio,1
Cicero Pro Archia,1
Cicero Pro Balbo,1
Cicero Pro C Rabirio,1
Cicero Pro C Rabirio Postumo,1
Cicero Pro Fonteio,1
Cicero Pro L Flacco,1
Cicero Pro Ligario,1
Cicero Pro M Caelio,1
Cicero Pro Marcello,1
Cicero Pro Milone,1
Cicero Pro Murena,1
Cicero Pro Plancio,1
Cicero Pro Publio Quinctio,1
Cicero Pro Q Roscio Comoedo,1
Cicero Pro Rege Deiotaro,1
Cicero Pro S Roscio,1
Cicero Pro Scauro,1
Cicero Pro Sestio,1
Cicero Pro Sulla,1
Cicero Pro Tullio,1
Cicero Timaeus,0
Cicero Topica,0
Cicero Tusculanae Disputationes Part 1,0
Cicero Tusculanae Disputationes Part 2,0
Cicero Tusculanae Disputationes Part 3,0
Cicero Tusculanae Disputationes Part 4,0
Cicero Tusculanae Disputationes Part 5,0
Columella De Re Rustica Part 1,1
Columella De Re Rustica Part 2,1
Columella De Re Rustica Part 3,1
Columella De Re Rustica Part 4,1
Columella De Re Rustica Part 5,1
Columella De Re Rustica Part 6,1
Columella De Re Rustica Part 7,1
Columella De Re Rustica Part 8,1
Columella De Re Rustica Part 9,1
Curtius Rufus Historiae Alexandri Magni Part 10,1
Curtius Rufus Historiae Alexandri Magni Part 3,1
Curtius Rufus Historiae Alexandri Magni Part 4,1
Curtius Rufus Historiae Alexandri Magni Part 5,1
Curtius Rufus Historiae Alexandri Magni Part 6,1
Curtius Rufus Historiae Alexandri Magni Part 7,1
Curtius Rufus Historiae Alexandri Magni Part 8,1
Curtius Rufus Historiae Alexandri Magni Part 9,1
Florus Epitome Bellorum Omnium Annorum,1
Gellius Attic Nights Part 1,1
Gellius Attic Nights Part 10,1
Gellius Attic Nights Part 11,1
Gellius Attic Nights Part 12,1
Gellius Attic Nights Part 13,1
Gellius Attic Nights Part 14,1
Gellius Attic Nights Part 15,1
Gellius Attic Nights Part 16,1
Gellius Attic Nights Part 17,1
Gellius Attic Nights Part 18,1
Gellius Attic Nights Part 19,1
Gellius Attic Nights Part 2,1
Gellius Attic Nights Part 20,1
Gellius Attic Nights Part 3,1
Gellius Attic Nights Part 4,1
Gellius Attic Nights Part 5,1
Gellius Attic Nights Part 6,1
Gellius Attic Nights Part 7,1
Gellius Attic Nights Part 8,1
Gellius Attic Nights Part 9,1
Gellius Attic Nights Part Pr,1
Jerome Epistulae Selections,1
Livy Ab Urbe Condita Books 21-30,1
Livy Ab Urbe Condita Part 1 Books 1-10,1
Livy Ab Urbe Condita Part 3 Books 31-40,1
Livy Ab Urbe Condita Part 4 Books 41-45,1
Marcus Mincuius Felix Octavius,0
Nepos Vitae,1
Petronius Satyricon,1
Pliny The Elder Naturalis Historia Part 1 Books 1-5,1
Pliny The Elder Naturalis Historia Part 2 Books 6-10,1
Pliny The Elder Naturalis Historia Part 3 Books 11-15,1
Pliny The Elder Naturalis Historia Part 4 Books 16-20,1
Pliny The Elder Naturalis Historia Part 5 Books 21-25,1
Pliny The Elder Naturalis Historia Part 6 Books 26-30,1
Pliny The Elder Naturalis Historia Part 7 Books 31-37,1
Pliny The Younger Letters Part 1,1
Pliny The Younger Letters Part 10,1
Pliny The Younger Letters Part 2,1
Pliny The Younger Letters Part 3,1
Pliny The Younger Letters Part 4,1
Pliny The Younger Letters Part 5,1
Pliny The Younger Letters Part 6,1
Pliny The Younger Letters Part 7,1
Pliny The Younger Letters Part 8,1
Pliny The Younger Letters Part 9,1
Pseudo Cicero In Sallustium,1
Pseudo Quintilian Major Declamations,1
Q Cicero On Running For Consul,1
Quintilian Institutio Oratoria Part 1,1
Quintilian Institutio Oratoria Part 10,1
Quintilian Institutio Oratoria Part 11,1
Quintilian Institutio Oratoria Part 12,1
Quintilian Institutio Oratoria Part 2,1
Quintilian Institutio Oratoria Part 3,1
Quintilian Institutio Oratoria Part 4,1
Quintilian Institutio Oratoria Part 5,1
Quintilian Institutio Oratoria Part 6,1
Quintilian Institutio Oratoria Part 7,1
Quintilian Institutio Oratoria Part 8,1
Quintilian Institutio Oratoria Part 9,1
Sallust Catilina,1
Sallust Histories,1
Sallust Jugurtha,1
Scriptores Historiae Augustae Historia Augusta Part 1 Books 1-5,1
Scriptores Historiae Augustae Historia Augusta Part 2 Books 6-10,1
Scriptores Historiae Augustae Historia Augusta Part 3 Books 11-15,1
Scriptores Historiae Augustae Historia Augusta Part 4 Books 16-21,1
Seneca Ad Lucilium Epistulae Morales Part 1 1-10,1
Seneca Ad Lucilium Epistulae Morales Part 10 91-100,1
Seneca Ad Lucilium Epistulae Morales Part 11 101-110,1
Seneca Ad Lucilium Epistulae Morales Part 12 111-120,1
Seneca Ad Lucilium Epistulae Morales Part 13 121-124,1
Seneca Ad Lucilium Epistulae Morales Part 2 11-20,1
Seneca Ad Lucilium Epistulae Morales Part 3 21-30,1
Seneca Ad Lucilium Epistulae Morales Part 4 31-40,1
Seneca Ad Lucilium Epistulae Morales Part 5 41-50,1
Seneca Ad Lucilium Epistulae Morales Part 6 51-60,1
Seneca Ad Lucilium Epistulae Morales Part 7 61-70,1
Seneca Ad Lucilium Epistulae Morales Part 8 71-80,1
Seneca Ad Lucilium Epistulae Morales Part 9 81-90,1
Seneca De Beneficiis Part 1,0
Seneca De Beneficiis Part 2,0
Seneca De Beneficiis Part 3,0
Seneca De Beneficiis Part 4,0
Seneca De Beneficiis Part 5,0
Seneca De Beneficiis Part 6,0
Seneca De Beneficiis Part 7,0
Seneca De Brevitate Vitae,0
Seneca De Clementia,0
Seneca De Consolatione Ad Helviam,0
Seneca De Consolatione Ad Marciam,0
Seneca De Consolatione Ad Polybium,0
Seneca De Constantia,0
Seneca De Ira,0
Seneca De Otio,0
Seneca De Providentia,0
Seneca De Tranquillitate Animi,0
Seneca De Vita Beata,0
Seneca The Elder Controversiae Part 1,1
Seneca The Elder Controversiae Part 10,1
Seneca The Elder Controversiae Part 2,1
Seneca The Elder Controversiae Part 7,1
Seneca The Elder Controversiae Part 8,1
Seneca The Elder Excerpta Controversiae,1
Seneca The Elder Fragmenta,1
Seneca The Elder Suasoriae,1
Suetonius De Vita Caesarum Part 1 Julius,1
Suetonius De Vita Caesarum Part 10 Vespasian,1
Suetonius De Vita Caesarum Part 11 Titus,1
Suetonius De Vita Caesarum Part 12 Domitian,1
Suetonius De Vita Caesarum Part 2 Augustus,1
Suetonius De Vita Caesarum Part 3 Tiberius,1
Suetonius De Vita Caesarum Part 4 Caligula,1
Suetonius De Vita Caesarum Part 5 Claudius,1
Suetonius De Vita Caesarum Part 6 Nero,1
Suetonius De Vita Caesarum Part 7 Galba,1
Suetonius De Vita Caesarum Part 8 Otho,1
Suetonius De Vita Caesarum Part 9 Vitellius,1
Tacitus Agricola,1
Tacitus Annales Part 1,1
Tacitus Annales Part 11,1
Tacitus Annales Part 12,1
Tacitus Annales Part 13,1
Tacitus Annales Part 14,1
Tacitus Annales Part 15,1
Tacitus Annales Part 16,1
Tacitus Annales Part 2,1
Tacitus Annales Part 3,1
Tacitus Annales Part 4,1
Tacitus Annales Part 5,1
Tacitus Annales Part 6,1
Tacitus De Origine Et Situ Germanorum Liber,1
Tacitus Dialogus De Oratoribus,0
Tacitus Historiae Part 1,1
Tacitus Historiae Part 2,1
Tacitus Historiae Part 3,1
Tacitus Historiae Part 4,1
Tacitus Historiae Part 5,1
Tertullian Apologeticum,0
Tertullian De Spectaculis,0
Valerius Maximus Facta Et Dicta Memorabilia Part 1,1
Valerius Maximus Facta Et Dicta Memorabilia Part 2,1
Valerius Maximus Facta Et Dicta Memorabilia Part 3,1
Valerius Maximus Facta Et Dicta Memorabilia Part 4,1
Valerius Maximus Facta Et Dicta Memorabilia Part 5,1
Valerius Maximus Facta Et Dicta Memorabilia Part 6,1
Valerius Maximus Facta Et Dicta Memorabilia Part 7,1
Valerius Maximus Facta Et Dicta Memorabilia Part 8,1
Valerius Maximus Facta Et Dicta Memorabilia Part 9,1
Vitruvius De Architectura Part 1,1
Vitruvius De Architectura Part 10,1
Vitruvius De Architectura Part 2,1
Vitruvius De Architectura Part 3,1
Vitruvius De Architectura Part 4,1
Vitruvius De Architectura Part 5,1
Vitruvius De Architectura Part 6,1
Vitruvius De Architectura Part 7,1
Vitruvius De Architectura Part 8,1
Vitruvius De Architectura Part 9,1
