miscellaneous:0,elegy:1,epic:2,drama:3
Textname,Genre
Ovid Heroides,1
Ovid Ibis,1
Ovid Medicamina Faciei Femineae,1
Ovid Metamorphoses Part 1,2
Ovid Metamorphoses Part 10,2
Ovid Metamorphoses Part 11,2
Ovid Metamorphoses Part 12,2
Ovid Metamorphoses Part 13,2
Ovid Metamorphoses Part 14,2
Ovid Metamorphoses Part 15,2
Ovid Metamorphoses Part 2,2
Ovid Metamorphoses Part 3,2
Ovid Metamorphoses Part 4,2
Ovid Metamorphoses Part 5,2
Ovid Metamorphoses Part 6,2
Ovid Metamorphoses Part 7,2
Ovid Metamorphoses Part 8,2
Ovid Metamorphoses Part 9,2
Ovid Remedia Amoris,1
Ovid Tristia Part 1,1
Ovid Tristia Part 2,1
Ovid Tristia Part 3,1
Ovid Tristia Part 4,1
Ovid Tristia Part 5,1
Persius Satires,0
Phaedrus 1,0
Phaedrus 2,0
Phaedrus 3,0
Phaedrus 4,0
Phaedrus 5,0
Phaedrus Appendix,0
Plautus Amphitruo,3
Plautus Asinaria,3
Plautus Aulularia,3
Plautus Bacchides,3
Plautus Captivi,3
Plautus Casina,3
Plautus Cistellaria,3
Plautus Curculio,3
Plautus Epidicus,3
Plautus Menaechmi,3
Plautus Mercator,3
Plautus Miles Gloriosus,3
Plautus Mostellaria,3
Plautus Persa,3
Plautus Poenulus,3
Plautus Pseudolus,3
Plautus Rudens,3
Plautus Stichus,3
Plautus Trinummus,3
Plautus Truculentus,3
Propertius Elegies,1
Prudentius Apotheosis,2
Prudentius Contra Symmachum Part 1,2
Prudentius Contra Symmachum Part 2,2
Prudentius Dittochaeon,0
Prudentius Epilogus,0
Prudentius Hamartigenia,2
Prudentius Psychomachia,2
Rutilius De Reditu,1
Seneca Agamemnon,3
Seneca Hercules Furens,3
Seneca Hercules Oetaeus,3
Seneca Medea,3
Seneca Octavia,3
Seneca Oedipus,3
Seneca Phaedra,3
Seneca Phoenissae,3
Seneca Thyestes,3
Seneca Troades,3
Silius Italicus Punica Part 1,2
Silius Italicus Punica Part 10,2
Silius Italicus Punica Part 11,2
Silius Italicus Punica Part 12,2
Silius Italicus Punica Part 13,2
Silius Italicus Punica Part 14,2
Silius Italicus Punica Part 15,2
Silius Italicus Punica Part 16,2
Silius Italicus Punica Part 17,2
Silius Italicus Punica Part 2,2
Silius Italicus Punica Part 3,2
Silius Italicus Punica Part 4,2
Silius Italicus Punica Part 5,2
Silius Italicus Punica Part 6,2
Silius Italicus Punica Part 7,2
Silius Italicus Punica Part 8,2
Silius Italicus Punica Part 9,2
Statius Achilleid,2
Statius Silvae Part 1,0
Statius Silvae Part 2,0
Statius Silvae Part 3,0
Statius Silvae Part 4,0
Statius Silvae Part 5,0
Statius Thebaid Part 1,2
Statius Thebaid Part 10,2
Statius Thebaid Part 11,2
Statius Thebaid Part 12,2
Statius Thebaid Part 2,2
Statius Thebaid Part 3,2
Statius Thebaid Part 4,2
Statius Thebaid Part 5,2
Statius Thebaid Part 6,2
Statius Thebaid Part 7,2
Statius Thebaid Part 8,2
Statius Thebaid Part 9,2
Terence Adelphi,3
Terence Andria,3
Terence Eunuchus,3
Terence Heautontimorumenos,3
Terence Hecyra,3
Terence Phormio,3
Tibullus Elegies,1
Valerius Flaccus Argonautica Part 1,2
Valerius Flaccus Argonautica Part 2,2
Valerius Flaccus Argonautica Part 3,2
Valerius Flaccus Argonautica Part 4,2
Valerius Flaccus Argonautica Part 5,2
Valerius Flaccus Argonautica Part 6,2
Valerius Flaccus Argonautica Part 7,2
Valerius Flaccus Argonautica Part 8,2
Vergil Aeneid Part 1,2
Vergil Aeneid Part 10,2
Vergil Aeneid Part 11,2
Vergil Aeneid Part 12,2
Vergil Aeneid Part 2,2
Vergil Aeneid Part 3,2
Vergil Aeneid Part 4,2
Vergil Aeneid Part 5,2
Vergil Aeneid Part 6,2
Vergil Aeneid Part 7,2
Vergil Aeneid Part 8,2
Vergil Aeneid Part 9,2
Vergil Eclogues,0
Vergil Georgics Part 1,2
Vergil Georgics Part 2,2
Vergil Georgics Part 3,2
Vergil Georgics Part 4,2
